CoolingRate, Energy, Time(s)
0.9999,43,4135.15
0.9909,151.2,42.45
0.9819,212.7,21.55
0.9729,278.35,14.7
0.9639,318.25,11.6
0.9549,348.85,8.15
0.9459,363.2,6.85
0.9369,1380.85,5.1
0.9279,436.9,5.1
0.9189,487.8,5.2
0.9099,490.5,3.2
0.9009,520.05,3.6
0.8919,525.45,2.9
0.8829,1569.15,2.1
0.8739,1557.65,2
0.8649,578.6,2.2
0.8559,579.95,2
0.8469,2671.15,2.35
0.8379,6656.95,2.25
0.8289,5652.15,1.65
0.8199,4586.5,1.7
0.8109,3647.8,1.85
0.8019,2678.6,1
0.7929,3731.75,1
0.7839,8202.6,1
0.7749,5740.95,1
0.7659,2717.65,1
0.7569,4743.6,1
0.7479,8757.2,1.1
0.7389,5173.8,1.05
0.7299,4750.7,1.45
0.7209,9718.3,1.1
0.7119,4761.4,0.9
0.7029,12754,0.05
0.6939,4726.5,0.8
0.6849,12310.7,1
0.6759,11677.8,1
0.6669,16771.8,1
0.6579,9823.05,0.7
0.6489,14738.1,0
0.6399,3769.4,0.05
0.6309,13793.1,0
0.6219,14847.5,0
0.6129,14736.5,0
0.6039,16796.8,0
0.5949,14775.9,0
0.5859,5750.55,0.05
0.5769,6745.85,0.05
0.5679,8884.8,0
0.5589,13767.5,0
0.5499,20767.9,0
0.5409,24208.3,0
0.5319,15781.9,0
0.5229,15749.5,0
0.5139,11226,0
0.5049,28340.7,0
0.4959,15762,0
0.4869,17889.7,0
0.4779,18840.7,0
0.4689,19809.5,0
0.4599,6814.85,0
0.4509,15344.4,0
0.4419,23239.7,0
0.4329,17676.4,0
0.4239,19246.2,0
0.4149,27258.2,0
0.4059,17733.2,0
0.3969,1837.15,0
0.3879,17812.2,0
0.3789,26802.5,0
0.3699,14825.8,0
0.3609,8298.45,0
0.3519,19769.6,0
0.3429,18837.5,0
0.3339,25328.7,0
0.3249,14859.3,0.05
0.3159,25333.8,0.05
0.3069,27247.1,0
0.2979,35879.7,0
0.2889,29844,0
0.2799,26817.5,0
0.2709,22866.6,0
0.2619,24801.3,0
0.2529,11867.5,0
0.2439,8799.25,0
0.2349,37422.7,0
0.2259,16758.3,0
0.2169,13808.2,0
0.2079,12768.2,0
0.1989,39298.4,0
0.1899,30301,0
0.1809,18390.8,0
0.1719,16834.7,0
0.1629,35947.3,0
0.1539,19397.7,0
0.1449,22931.3,0
0.1359,17805.6,0
0.1269,15869.5,0
0.1179,54782.7,0
0.1089,24752.2,0
