CoolingRate, Energy, Time(s)
1e+06,147.2,42.5
990001,155.1,43.1
980001,154.1,41.2
970001,166.9,41.7
960001,154.4,41.3
950001,148.5,36.5
940001,161,34.3
930001,161.2,38.7
920001,168.3,34.1
910001,166,36.5
900001,148.8,38.1
890001,162.8,38.8
880001,156.4,41.7
870001,154.9,36.5
860001,159.2,37.5
850001,149.4,36.1
840001,159.7,38.3
830001,163.1,36.9
820001,162.4,37.5
810001,163.7,37.5
800001,147.2,37.2
790001,154,40.5
780001,156.7,37.8
770001,153.8,39
760001,163.2,37.1
750001,163.7,38
740001,163.7,37.2
730001,159.8,38.9
720001,172.5,39.9
710001,157,35.7
700001,145.5,35.4
690001,161.8,33
680001,151.1,37.8
670001,143.2,32.8
660001,165.6,37.5
650001,146.8,36.6
640001,148.4,32.3
630001,138.7,40.2
620001,172.7,37
610001,162.2,34.3
600001,154.2,31.6
590001,171.2,37.4
580001,158.7,35.8
570001,161.1,37.4
560001,156,32.2
550001,157.3,38.6
540001,150.9,32.8
530001,159.1,39.9
520001,159.8,38.2
510001,153.8,33.1
500001,162.5,37.1
490001,159.3,38.6
480001,152.3,40.1
470001,157.9,64.8
460001,162.8,45.9
450001,158.7,43.1
440001,158.7,39.5
430001,167.6,47
420001,158,61.2
410001,142.4,51.2
400001,159.4,47.3
390001,172.2,39.6
380001,153.4,36.8
370001,163.2,40.3
360001,154.6,54.6
350001,152.1,56.7
340001,164.6,62.5
330001,169,33.7
320001,153.5,48.8
310001,144.7,58.8
300001,151.9,49.3
290001,160.6,49.1
280001,173.3,48.1
270001,166.4,47.9
260001,159.7,47
250001,155.2,47.2
240001,149.8,47.6
230001,167.2,47
220001,156.1,47.7
210001,149.3,44.9
200001,150.7,36.7
190001,155.3,34
180001,150.5,32.6
170001,171.3,35.1
160001,151.8,29.2
150001,163.9,36.3
140001,160.5,30.9
130001,148.5,29.2
120001,160.5,33.4
110001,162.4,29.9
100001,158,32
90001,152.9,33.2
80001,152.8,27.7
70001,160.7,30.7
60001,162.5,32.9
50001,158.3,35.3
40001,154.8,29.9
30001,163.9,27.9
20001,159.2,29.7
10001,167.3,30.2
