CoolingRate, Energy, Time(s)
1e+06,719.3,143.3
990001,695.6,156.9
980001,735.6,143.9
970001,756,141.3
960001,714.4,147.7
950001,744.1,138.9
940001,714.1,146.8
930001,716.3,141.9
920001,716.6,159.3
910001,716.8,144.5
900001,742.3,149.3
890001,748.2,152.2
880001,732.2,193.6
870001,713.4,198.7
860001,697,195.9
850001,685.9,196.4
840001,709.2,210.1
830001,748,276.7
820001,742.6,262.5
810001,726.8,225.6
800001,761.7,205
790001,717.2,193.3
780001,720.6,193.3
770001,735.7,190.9
760001,712.3,189.8
750001,750.2,186.2
740001,688.1,204.9
730001,726.5,193.9
720001,728.6,191.7
710001,685.4,188.1
700001,760.6,189.3
690001,701.4,192.2
680001,717.9,191.6
670001,708.7,190.6
660001,743.3,183.7
650001,692.5,189.1
640001,707.1,186.3
630001,731.3,190.4
620001,705.8,186.9
610001,716.4,187
600001,703.5,184.5
590001,709,186.9
580001,730.9,187.7
570001,710,185.9
560001,722.1,189.6
550001,724.8,189.8
540001,734.8,184.5
530001,760.1,186
520001,686.2,183.7
510001,689.3,187.9
500001,723.9,204.5
490001,741.4,187.4
480001,728.6,184.8
470001,693.5,187.5
460001,700.4,198.4
450001,695.8,184.8
440001,746.1,209.2
430001,710.3,183.8
420001,695.3,186.7
410001,718.1,142.5
400001,658.7,133.3
390001,686.6,143.5
380001,685.9,136
370001,735.7,131.8
360001,740,142.8
350001,708,133.9
340001,729.2,137.5
330001,717.8,132.9
320001,716,134.7
310001,718.7,138
300001,726.8,133.7
290001,720.4,132.2
280001,704.6,135.6
270001,717.4,136.9
260001,702.9,122.6
250001,706.1,133.1
240001,684.3,135
230001,707,124.8
220001,754.4,131.5
210001,732.9,128.7
200001,711.4,131
190001,781.3,125.2
180001,690.4,124.3
170001,683,125.1
160001,716.1,120.4
150001,735.8,122.2
140001,764.3,130.3
130001,711.2,117.9
120001,728,122.4
110001,707.4,125.8
100001,755,132.3
90001,702,121.7
80001,685.7,123.2
70001,725.4,110.9
60001,736.8,151.4
50001,738,150.3
40001,704,130.3
30001,696.6,115.1
20001,713.1,112.9
10001,699,110.7
